generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
11,0.2454833984375,kl,,12.421875,11.2890625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":6,""quantization"":2,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,118.56144647113979,2543.50439453125
12,0.18603515625,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,119.58377833664417,2543.50439453125
13,0.21875,kl,,11.9453125,10.875,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":2}",parent,False,135.11829727888107,2543.50439453125
14,0.223388671875,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",quantization,True,136.19982086122036,2543.50439453125
15,0.18603515625,kl,,11.9453125,10.875,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,151.6797414366156,2543.50439453125
16,0.22607421875,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",quantization,True,152.66493745706975,2543.50439453125
17,0.223876953125,kl,,11.9453125,10.875,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",quantization,True,168.14516252838075,2543.50439453125
18,0.224609375,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":6,""quantization"":2,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,169.1754062436521,2543.50439453125
19,0.2191162109375,kl,,11.921875,10.8984375,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":2,""quantization"":6,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",quantization,True,184.69575031101704,2543.50439453125
20,0.22265625,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,185.71832654438913,2543.50439453125
