generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.322021484375,kl,,14.1328125,12.9140625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":2,""quantization"":4,""joint_aware"":2},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",parent,False,40.28610336780548,2543.50439453125
2,0.3720703125,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":1,""joint_aware"":2},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",quantization,True,41.42032616212964,2543.50439453125
3,0.400390625,kl,,14.078125,12.9140625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":0,""joint_aware"":4},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",parent,False,57.631202509626746,2543.50439453125
4,0.3720703125,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":4,""joint_aware"":1},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",parent,False,58.713575195521116,2543.50439453125
5,0.33740234375,kl,,14.078125,12.9140625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":1,""joint_aware"":3},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",joint_aware,True,74.23459276929498,2543.50439453125
6,0.361328125,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":1},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",parent,False,75.24485515244305,2543.50439453125
7,0.3173828125,kl,,13.328125,12.28125,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":2,""joint_aware"":1},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",parent,False,90.64572385698557,2543.50439453125
8,0.3173828125,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":1},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",quantization,True,91.75488228537142,2543.50439453125
9,0.28271484375,kl,,13.3046875,12.2265625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":1,""joint_aware"":2},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",parent,False,107.11041831970215,2543.50439453125
10,0.28271484375,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":3,""joint_aware"":2},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",joint_aware,True,108.2504113279283,2543.50439453125
11,0.26171875,kl,,13.015625,11.8984375,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""joint_aware_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":3,""joint_aware"":2},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.25}",depth,True,123.58593721687794,2543.50439453125
