condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,26,0.79541015625,13.328125,734,1294336,734,1294336,12.190866827809563,12.190866827809563
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,27,0.79541015625,,761,1343488,761,1343488,12.386026299092919,12.386026299092919
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,28,0.79541015625,,788,1392640,788,1392640,12.586087635035316,12.586087635035316
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,29,0.794921875,,815,1441792,815,1441792,12.787791074284662,12.787791074284662
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,30,0.73046875,,842,1490944,842,1490944,12.984365095415463,12.984365095415463
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,31,0.72998046875,12.28125,869,1540096,869,1540096,14.23392227931569,14.23392227931569
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,32,0.72900390625,,896,1589248,896,1589248,14.445336157704393,14.445336157704393
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,33,0.72607421875,,923,1638400,923,1638400,14.651902354229241,14.651902354229241
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,34,0.72607421875,,950,1687552,950,1687552,14.86361618215839,14.86361618215839
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,35,0.7255859375,,977,1736704,977,1736704,15.065421836233387,15.065421836233387
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,36,0.72607421875,12.2265625,1004,1785856,1004,1785856,16.312246382174393,16.312246382174393
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,37,0.7255859375,,1031,1835008,1031,1835008,16.51634368582939,16.51634368582939
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,38,0.72509765625,,1058,1884160,1058,1884160,16.72557918354869,16.72557918354869
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,39,0.724609375,,1085,1933312,1085,1933312,16.934772654964277,16.934772654964277
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,40,0.72412109375,,1112,1982464,1112,1982464,17.131087044471254,17.131087044471254
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,41,0.70458984375,11.8046875,1139,2031616,1139,2031616,18.362260026174287,18.362260026174287
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,42,0.7041015625,,1166,2080768,1166,2080768,18.55704949932794,18.55704949932794
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,43,0.7041015625,,1193,2129920,1193,2129920,18.763016775467744,18.763016775467744
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,44,0.7041015625,,1220,2179072,1220,2179072,18.965639608570687,18.965639608570687
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,45,0.666015625,,1247,2228224,1247,2228224,19.174534350043782,19.174534350043782
