method,runs,wikitext2_ppl_mean,wikitext2_ppl_sample_std,wikitext2_ppl_min,wikitext2_ppl_max,train_ppl_mean,final_calibration_kl_mean,estimated_compression_ratio_mean,estimated_weight_memory_mb_mean,average_bitwidth_total_mean,active_parameter_ratio_mean,runtime_minutes_mean,runtime_minutes_sample_std,source_search_minutes_mean,total_pipeline_minutes_mean
dense,1,5.96,,5.96,5.96,,,1.0,13824.5078125,16.0,1.0,1.6666666666666667,,0.0,1.6666666666666667
depth,3,11.817708333333334,0.6211961066077147,11.203125,12.4453125,11.3046875,0.6640625,1.31705783098992,10496.5078125,12.148289637345814,0.7592681023341133,9.577777777777778,0.04194352464039338,9.577777777777778,9.577777777777778
quant,3,5.9375,0.0,5.9375,5.9375,5.8359375,0.005236307779947917,1.0640369058850623,12992.5078125,15.037072409336453,1.0,13.15,0.0288675134594817,13.15,13.15
uniform,3,11.953333333333333,0.5858611894752317,11.35,12.52,,,1.400303557622533,9872.5078125,11.426093944348155,0.7592681023341133,1.4055555555555554,0.009622504486493856,9.577777777777778,10.983333333333333
independent,3,11.946666666666667,0.5853488988059458,11.35,12.52,,,1.400492714193363,9871.174479166666,11.424550791157989,0.7592681023341133,1.45,0.08660254037844395,22.727777777777778,24.177777777777777
joint,3,12.606770833333334,0.6749716670365382,12.15625,13.3828125,12.182291666666666,0.7353515625,1.400303557622533,9872.5078125,11.426093944348155,0.7592681023341133,10.15,0.033333333333333215,10.15,10.15
joint_g50,3,11.2421875,0.2852365041176357,10.921875,11.46875,10.760416666666666,0.61279296875,1.400303557622533,9872.5078125,11.426093944348155,0.7592681023341133,22.583333333333332,0.10929064207170111,22.583333333333332,22.583333333333332
joint_aware,3,11.546875,0.6166928397458089,11.15625,12.2578125,11.174479166666666,0.6536458333333334,1.400303557622533,9872.5078125,11.426093944348155,0.7592681023341133,26.433333333333334,5.225259164226531,26.433333333333334,26.433333333333334
