seed,standard_search_wikitext2_ppl,interaction_aware_search_wikitext2_ppl,interaction_aware_minus_standard_search_wikitext2,standard_c4_ppl,interaction_aware_c4_ppl,interaction_aware_minus_standard_c4,standard_fineweb_edu_ppl,interaction_aware_fineweb_edu_ppl,interaction_aware_minus_standard_fineweb_edu,standard_train_ppl,interaction_aware_train_ppl,interaction_aware_minus_standard_train,standard_final_calibration_kl,interaction_aware_final_calibration_kl,interaction_aware_minus_standard_kl,standard_runtime_seconds,interaction_aware_runtime_seconds
0,11.46875,10.8984375,-0.5703125,14.44,14.19,-0.25,12.42,12.35,-0.07,11.78125,11.2421875,-0.5390625,0.6640625,0.6103515625,-0.0537109375,1348.0,1294.0
1,10.921875,11.1171875,0.1953125,14.19,13.94,-0.25,12.26,12.02,-0.24,10.3984375,11.0078125,0.609375,0.55908203125,0.59130859375,0.0322265625,1361.0,1265.0
2,11.3359375,11.2421875,-0.09375,14.55,14.27,-0.28,12.70,12.30,-0.40,10.1015625,10.1171875,0.015625,0.615234375,0.625,0.009765625,1356.0,1255.0
