variant,seed,run_id,phase,generation,best_search_fitness,wikitext2_ppl,train_ppl,selected_parent_mutation_type,accepted_parent_replacement
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,16,0.2744140625,,,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,17,0.2744140625,11.5078125,13.1171875,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,18,0.274169921875,,,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,19,0.28076171875,11.4921875,13.09375,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,20,0.240478515625,,,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,final,20,0.25927734375,11.4921875,13.046875,,
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,1,0.322021484375,12.9140625,14.1328125,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,2,0.3720703125,,,quantization,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,3,0.400390625,12.9140625,14.078125,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,4,0.3720703125,,,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,5,0.33740234375,12.9140625,14.078125,joint_aware,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,6,0.361328125,,,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,7,0.3173828125,12.28125,13.328125,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,8,0.3173828125,,,quantization,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,9,0.28271484375,12.2265625,13.3046875,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,10,0.28271484375,,,joint_aware,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,11,0.26171875,11.8984375,13.015625,depth,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,12,0.318359375,,,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,13,0.265869140625,11.9921875,12.9140625,quantization,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,14,0.31689453125,,,quantization,True
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,15,0.2802734375,12.015625,12.9453125,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,16,0.26416015625,,,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,17,0.29736328125,12.015625,12.9453125,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,18,0.29736328125,,,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,19,0.3388671875,12.015625,12.9453125,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,generation,20,0.29736328125,,,parent,False
p025,0,screen_jointaware_tiny_p025_g20_o8_seed0,final,20,0.30126953125,12.015625,12.9453125,,
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,1,0.464599609375,14.328125,15.609375,depth,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,2,0.400390625,,,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,3,0.3525390625,12.5234375,13.640625,depth,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,4,0.3935546875,,,joint_aware,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,5,0.3056640625,12.2265625,12.96875,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,6,0.35888671875,,,parent,False
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,7,0.357421875,12.28125,12.9453125,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,8,0.3564453125,,,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,9,0.30712890625,12.1796875,12.96875,parent,False
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,10,0.30712890625,,,parent,False
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,11,0.35546875,12.1796875,12.96875,depth,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,12,0.267578125,,,joint_aware,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,13,0.2381591796875,10.8984375,11.6953125,parent,False
