seed,max3_wikitext2_ppl,fixed1_wikitext2_ppl,fixed1_minus_max3_ppl,max3_final_calibration_kl,fixed1_final_calibration_kl,fixed1_minus_max3_kl,max3_runtime_seconds,fixed1_runtime_seconds,attention_mask_jaccard,mlp_mask_jaccard,equal_quant_assignments,quant_modules,quant_bit_l1_distance
0,11.46875,11.5078125,0.0390625,0.6640625,0.67626953125,0.01220703125,1348.0,1253.0,0.6,0.6,21,32,11
1,10.921875,11.0078125,0.0859375,0.55908203125,0.55908203125,0.0,1361.0,1224.0,0.6,0.7777777777777778,24,32,8
2,11.3359375,11.1171875,-0.21875,0.615234375,0.6044921875,-0.0107421875,1356.0,1280.0,0.23076923076923078,0.45454545454545453,19,32,13
