seed,depth_ppl,uniform_composition_ppl,independent_composition_ppl,joint_ppl,joint_minus_independent_ppl,joint_g50_ppl,joint_g50_minus_independent_ppl,joint_g20_minus_g50_ppl,joint_aware_ppl,joint_aware_minus_joint_g50_ppl,joint_aware_minus_independent_ppl,independent_active_qproj_bits,independent_compression_ratio,joint_compression_ratio,independent_source_search_minutes,joint_search_minutes,joint_g50_search_minutes,joint_aware_search_minutes
0,11.8046875,11.99,11.97,13.3828125,1.4128124999999994,11.46875,-0.5012500000000006,1.9140625,11.15625,-0.3125,-0.8137500000000006,3,1.400303557622533,1.400303557622533,22.666666666666668,10.15,22.466666666666665,23.366666666666667
1,12.4453125,12.52,12.52,12.28125,-0.23874999999999957,10.921875,-1.5981249999999996,1.359375,11.2265625,0.3046875,-1.2934374999999996,2.9583333333333335,1.400587292478778,1.400303557622533,22.716666666666665,10.183333333333334,22.683333333333334,23.466666666666665
2,11.203125,11.35,11.35,12.15625,0.8062500000000004,11.3359375,-0.014062499999999645,0.8203125,12.2578125,0.921875,0.9078125000000004,2.9583333333333335,1.400587292478778,1.400303557622533,22.8,10.116666666666667,22.6,32.46666666666667
