dataset,seed,depth_ppl,independent_ppl,joint_g50_ppl,joint_minus_depth,joint_minus_independent,independent_minus_depth
c4,0,14.73,16.11,16.66,1.9299999999999997,0.5500000000000007,1.379999999999999
c4,1,15.58,17.14,14.81,-0.7699999999999996,-2.33,1.5600000000000005
c4,2,13.97,15.02,15.31,1.3399999999999999,0.2900000000000009,1.049999999999999
fineweb_edu,0,12.84,14.22,14.84,2.0,0.6199999999999992,1.3800000000000008
fineweb_edu,1,13.8,15.19,12.97,-0.8300000000000001,-2.219999999999999,1.3899999999999988
fineweb_edu,2,12.3,13.3,13.54,1.2399999999999984,0.23999999999999844,1.0
wikitext2,0,11.8,13.2,13.25,1.4499999999999993,0.05000000000000071,1.3999999999999986
wikitext2,1,12.45,13.94,11.74,-0.7099999999999991,-2.1999999999999993,1.4900000000000002
wikitext2,2,11.2,12.18,13.02,1.8200000000000003,0.8399999999999999,0.9800000000000004
