condition,condition_label,initialization,mutation,runs,wikitext2_ppl_mean,wikitext2_ppl_sample_std,wikitext2_ppl_min,wikitext2_ppl_max,best_search_fitness_mean,best_search_fitness_sample_std,stage1_runtime_minutes_mean,stage2_runtime_minutes_mean,stage2_runtime_minutes_sample_std,total_runtime_minutes_mean,total_runtime_minutes_sample_std,stage1_candidate_evaluations,stage2_candidate_evaluations,total_candidate_evaluations,stage1_evaluated_tokens,stage2_evaluated_tokens,total_evaluated_tokens,initial_candidate_evaluations,final_wikitext2_eval_tokens_loaded
standard_standard,Standard initialization + standard mutation,standard,standard,3,11.2421875,0.2852365041176357,10.921875,11.46875,0.61279296875,0.05276149476265664,0.0,22.583333333333332,0.10929064207170111,22.583333333333332,0.10929064207170111,0,1382,1382,0,2473984,2473984,32,333824
depthwarm_standard,Depth→Joint warm start + standard mutation,depth_warm,standard,3,11.322916666666666,0.3641273189793418,10.9453125,11.671875,0.6121419270833334,0.008057873564118856,9.577777777777778,19.9,0.08819171036882005,29.477777777777778,0.12056963563450435,572,1351,1923,999424,2458112,3457536,1,333824
standard_interaction,Standard initialization + interaction-aware mutation,standard,interaction_aware,3,11.0859375,0.17399263633843817,10.8984375,11.2421875,0.6090494791666666,0.01691690774880491,0.0,21.18888888888889,0.33761143564974394,21.18888888888889,0.33761143564974394,0,1382,1382,0,2473984,2473984,32,333824
depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,depth_warm,interaction_aware,3,11.171875,0.19578068884596356,10.984375,11.375,0.61181640625,0.017746857270885007,9.577777777777778,20.68888888888889,0.12285191326386696,30.266666666666666,0.13333333333333286,572,1351,1923,999424,2458112,3457536,1,333824
