method,method_label,baseline,baseline_label,baseline_comparison_role,seed,method_wikitext2_ppl,baseline_wikitext2_ppl,delta_ppl_method_minus_baseline,relative_delta_percent,winner
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,0,11.03125,11.97,-0.9387500000000006,-7.842522974101926,method
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,1,16.453125,12.52,3.9331250000000004,31.414736421725244,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,2,14.5234375,11.35,3.1734375000000004,27.959801762114544,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,0,11.03125,13.3828125,-2.3515625,-17.571511967308815,method
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,1,16.453125,12.28125,4.171875,33.969465648854964,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,2,14.5234375,12.15625,2.3671875,19.47300771208226,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",joint_g50,Standard joint G50,larger single-search compute reference,0,11.03125,11.46875,-0.4375,-3.8147138964577656,method
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",joint_g50,Standard joint G50,larger single-search compute reference,1,16.453125,10.921875,5.53125,50.64377682403433,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",joint_g50,Standard joint G50,larger single-search compute reference,2,14.5234375,11.3359375,3.1875,28.11853893866299,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,0,11.03125,10.8984375,0.1328125,1.2186379928315412,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,1,16.453125,11.1171875,5.3359375,47.997189037245256,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,2,14.5234375,11.2421875,3.28125,29.186935371785964,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,0,13.046875,11.99,1.0568749999999998,8.814637197664718,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,1,12.1796875,12.52,-0.3403124999999996,-2.7181509584664503,method
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,2,12.4921875,11.35,1.1421875000000004,10.06332599118943,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,0,13.046875,11.97,1.0768749999999994,8.996449456975768,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,1,12.1796875,12.52,-0.3403124999999996,-2.7181509584664503,method
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,2,12.4921875,11.35,1.1421875000000004,10.06332599118943,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,0,13.046875,13.3828125,-0.3359375,-2.5102159953298306,method
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,1,12.1796875,12.28125,-0.1015625,-0.8269720101781171,method
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,2,12.4921875,12.15625,0.3359375,2.763496143958869,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),joint_g50,Standard joint G50,larger single-search compute reference,0,13.046875,11.46875,1.578125,13.760217983651225,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),joint_g50,Standard joint G50,larger single-search compute reference,1,12.1796875,10.921875,1.2578125,11.516452074391989,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),joint_g50,Standard joint G50,larger single-search compute reference,2,12.4921875,11.3359375,1.15625,10.199862164024811,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,0,13.046875,10.8984375,2.1484375,19.71326164874552,baseline
