seed,baseline_run_id,joint_aware_run_id,baseline_wikitext2_ppl,joint_aware_wikitext2_ppl,joint_aware_minus_baseline_ppl,baseline_final_calibration_kl,joint_aware_final_calibration_kl,baseline_runtime_minutes,joint_aware_runtime_minutes,joint_aware_minus_baseline_runtime_minutes,depth_offspring_generated,quantization_offspring_generated,joint_aware_offspring_generated,accepted_generations
0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,11.46875,11.15625,-0.3125,0.6640625,0.6357421875,22.466666666666665,23.366666666666667,0.9,205,201,394,30
1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,10.921875,11.2265625,0.3046875,0.55908203125,0.6025390625,22.683333333333334,23.466666666666665,0.7833333333333333,187,202,411,36
2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,11.3359375,12.2578125,0.921875,0.615234375,0.72265625,22.6,32.46666666666667,9.866666666666667,180,213,407,36
