dataset,seed,depth_ppl,independent_ppl,joint_g50_ppl,joint_minus_depth,joint_minus_independent,independent_minus_depth
c4,0,14.73,14.87,14.44,-0.2900000000000009,-0.4299999999999997,0.1399999999999988
c4,1,15.58,15.73,14.19,-1.3900000000000006,-1.540000000000001,0.15000000000000036
c4,2,13.97,14.13,14.55,0.5800000000000001,0.41999999999999993,0.16000000000000014
fineweb_edu,0,12.84,12.97,12.42,-0.41999999999999993,-0.5500000000000007,0.13000000000000078
fineweb_edu,1,13.8,14.05,12.26,-1.540000000000001,-1.790000000000001,0.25
fineweb_edu,2,12.3,12.4,12.7,0.3999999999999986,0.29999999999999893,0.09999999999999964
wikitext2,0,11.8,11.97,11.47,-0.33000000000000007,-0.5,0.16999999999999993
wikitext2,1,12.45,12.52,10.92,-1.5299999999999994,-1.5999999999999996,0.07000000000000028
wikitext2,2,11.2,11.35,11.34,0.14000000000000057,-0.009999999999999787,0.15000000000000036
