variant,seed,run_id,phase,generation,best_search_fitness,wikitext2_ppl,train_ppl,mutation_strength,selected_parent_mutation_type,accepted_parent_replacement
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,1,0.322021484375,12.9140625,14.1328125,1,depth,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,2,0.3623046875,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,3,0.349365234375,12.765625,14.078125,1,depth,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,4,0.314697265625,,,1,depth,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,5,0.3388671875,11.265625,12.5703125,1,quantization,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,6,0.2232666015625,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,7,0.257080078125,11.265625,12.5234375,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,8,0.2232666015625,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,9,0.267578125,11.265625,12.5234375,1,quantization,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,10,0.26513671875,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,11,0.220703125,11.2421875,12.4921875,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,12,0.26513671875,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,13,0.29541015625,11.2421875,12.4921875,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,14,0.220703125,,,1,quantization,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,15,0.28662109375,11.2421875,12.4921875,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,16,0.33154296875,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,17,0.265380859375,11.2421875,12.4921875,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,18,0.265380859375,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,19,0.265380859375,11.2421875,12.4921875,1,depth,True
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,generation,20,0.282470703125,,,1,parent,False
baseline,0,screen_jointaware_tiny_p0_g20_o8_seed0,final,20,0.280517578125,11.2890625,12.46875,,,
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,1,0.464599609375,14.328125,15.609375,1,parent,False
