generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.00455474853515625,kl,,6.0234375,5.9765625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,131.69973376579583,14280.6416015625
2,0.005176544189453125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,149.39682168886065,14280.6416015625
3,0.005115509033203125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,165.73911213874817,14280.6416015625
4,0.005115509033203125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,182.53148044273257,14280.6416015625
5,0.005115509033203125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,199.4947135914117,14280.6416015625
6,0.005115509033203125,kl,,6.01953125,5.94921875,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,297.5604561958462,14280.6416015625
7,0.00511932373046875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,314.48978568054736,14280.6416015625
8,0.0051116943359375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,331.31001126393676,14280.6416015625
9,0.005107879638671875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,348.6819360628724,14280.6416015625
10,0.0051116943359375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,365.6237470600754,14280.6416015625
11,0.005115509033203125,kl,,6.01953125,5.94921875,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,462.6597461607307,14280.6416015625
12,0.005115509033203125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,479.2728905342519,14280.6416015625
13,0.005046844482421875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,496.4989431835711,14280.6416015625
14,0.005054473876953125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,513.3485666643828,14280.6416015625
15,0.005054473876953125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,530.5049737356603,14280.6416015625
16,0.0050506591796875,kl,,6.01171875,5.94140625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,627.667668139562,14280.6416015625
17,0.005054473876953125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,644.3829525392503,14280.6416015625
18,0.0050506591796875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,661.3785993158817,14280.6416015625
19,0.0050506591796875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,678.7175361197442,14280.6416015625
20,0.0050506591796875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,695.2898551467806,14280.6416015625
