generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.3466796875,kl,,18.828125,14.6953125,,,524288,2,2,1,,"[2,1]","[128,512]",1011968000,,1930.17578125,2,2,"{""type"":""depth_level_switch"",""offspring_generated"":2,""maximum_mutations_per_offspring"":3}",True,69.8277347907424,2330.30517578125
2,0.289306640625,kl,,18.65625,14.46875,,,524288,2,2,1,,"[2,1]","[128,512]",1011968000,,1930.17578125,2,2,"{""type"":""depth_level_switch"",""offspring_generated"":2,""maximum_mutations_per_offspring"":3}",False,116.82700986601412,2330.30517578125
