run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,parent_attn_mask,parent_mlp_mask
depth_tinyllama_s0.125_seed0,generation,1,3.11e-01,12.72,1.38e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,2,3.89e-01,12.72,1.38e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,3,3.25e-01,12.33,1.36e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,4,3.29e-01,11.90,1.31e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,5,2.85e-01,12.02,1.30e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,6,2.56e-01,12.02,1.30e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,7,3.27e-01,12.02,1.30e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,8,3.65e-01,12.02,1.30e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,9,2.56e-01,12.02,1.30e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,generation,10,3.35e-01,12.02,1.30e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed0,final,,,12.02,1.30e+01,"[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0]","[0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0]"
