generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.40234375,kl,,18.109375,15.1640625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":1,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,43.15779184922576,2330.3056640625
2,0.37060546875,kl,,18.109375,15.1640625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":2,""quantization"":6,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":2,""quantization_step_size"":1,""quantization_mutations_per_offspring"":2,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":2,""adaptive_mutation_patience"":1,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":2}",parent,False,62.06215322576463,2330.3056640625
3,0.37939453125,kl,,18.109375,15.1640625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":3,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":3,""adaptive_mutation_patience"":1,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":3}",parent,False,80.49173482879996,2330.3056640625
4,0.437255859375,kl,,18.109375,15.1640625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":3,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":3,""adaptive_mutation_patience"":1,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,98.99874578416348,2330.3056640625
5,0.34228515625,kl,,16.953125,14.578125,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":1,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,117.37091051228344,2330.3056640625
