generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
14,0.70458984375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":8,""quantization"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,401.2749123144895,14280.6416015625
15,0.7041015625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":9,""quantization"":7},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,413.59167240932584,14280.6416015625
16,0.70361328125,kl,,11.9921875,12.3046875,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":10,""quantization"":6},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,487.7454784549773,14280.6416015625
17,0.70361328125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":14,""quantization"":2},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",False,499.0782708991319,14280.6416015625
18,0.70361328125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":8,""quantization"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,511.63079852052033,14280.6416015625
19,0.7021484375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":6,""quantization"":10},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,524.6467871256173,14280.6416015625
20,0.701171875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":6,""quantization"":10},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,537.5740451607853,14280.6416015625
21,0.69921875,kl,,11.921875,12.28125,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":11},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,612.6260229684412,14280.6416015625
22,0.69921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":8,""quantization"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,625.0474046897143,14280.6416015625
23,0.68212890625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":11,""quantization"":5},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,637.2022648844868,14280.6416015625
24,0.61669921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":6,""quantization"":10},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,650.1975437570363,14280.6416015625
25,0.61572265625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":6,""quantization"":10},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,662.8261168729514,14280.6416015625
