generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,1.396484375,kl,,25.546875,27.03125,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":11,""quantization"":5},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,116.06660522706807,14280.6416015625
2,1.458984375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":6,""quantization"":10},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,128.6990845799446,14280.6416015625
3,1.236328125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":9,""quantization"":7},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,140.67838075757027,14280.6416015625
4,1.201171875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":9,""quantization"":7},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,152.52801837958395,14280.6416015625
5,0.9306640625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":7,""quantization"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,165.30647402442992,14280.6416015625
6,0.92431640625,kl,,13.828125,15.046875,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":12},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,240.6264750994742,14280.6416015625
7,0.88134765625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":7,""quantization"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,253.13895422406495,14280.6416015625
8,0.86962890625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":6,""quantization"":10},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,266.05909288302064,14280.6416015625
9,0.83642578125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":9,""quantization"":7},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,278.34843030944467,14280.6416015625
10,0.818359375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""accepted_offspring_by_type"":{""depth"":7,""quantization"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1}",True,290.71510685794055,14280.6416015625
