depth_label,quant_label,rows_total,rows_completed,rows_failed,wiki2_ppl_mean,wiki2_ppl_std,wiki2_ppl_min,wiki2_ppl_max,c4_ppl_mean,c4_ppl_std,c4_ppl_min,c4_ppl_max,fineweb_ppl_mean,fineweb_ppl_std,fineweb_ppl_min,fineweb_ppl_max,compression_ratio_mean,compression_ratio_std,compression_ratio_min,compression_ratio_max,active_params_mean,active_params_std,active_params_min,active_params_max,avg_active_bitwidth_mean,avg_active_bitwidth_std,avg_active_bitwidth_min,avg_active_bitwidth_max,repair_num_changes_mean,repair_num_changes_std,repair_num_changes_min,repair_num_changes_max,failed_sources
independent,independent,3,3,0,11.955729166666666,0.5977626198915279,11.3515625,12.546875,14.893229166666666,0.8038274125175027,14.1328125,15.734375,13.145833333333334,0.8268464973671554,12.421875,14.046875,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.6666666666666666,0.5773502691896257,0.0,1.0,
independent,interaction_aware,3,3,0,12.130208333333334,0.6281820040468633,11.46875,12.71875,15.088541666666666,0.8305291360532352,14.296875,15.953125,13.359375,0.724964640840331,12.6953125,14.1328125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,2.3333333333333335,0.5773502691896257,2.0,3.0,
independent,standard_joint,3,3,0,11.963541666666666,0.5876710466873312,11.3515625,12.5234375,14.940104166666666,0.7578661922559835,14.1875,15.703125,13.153645833333334,0.8244439611350691,12.421875,14.046875,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,
independent,uniform3,3,3,0,11.955729166666666,0.5867875777982466,11.3515625,12.5234375,14.880208333333334,0.7852372211565007,14.1015625,15.671875,13.169270833333334,0.8117609820181575,12.4453125,14.046875,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
interaction_aware,independent,3,3,0,10.950520833333334,0.15355753112297466,10.7734375,11.046875,13.940104166666666,0.14026284384890866,13.78125,14.046875,12.0546875,0.18204969058954756,11.8515625,12.203125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.3333333333333333,0.5773502691896257,0.0,1.0,
interaction_aware,interaction_aware,3,3,0,11.0859375,0.17399263633843817,10.8984375,11.2421875,14.1328125,0.17451803049756778,13.9375,14.2734375,12.223958333333334,0.18193790077821426,12.015625,12.3515625,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
interaction_aware,standard_joint,3,3,0,10.979166666666666,0.1578692142315383,10.796875,11.0703125,13.966145833333334,0.1367373499252612,13.828125,14.1015625,12.078125,0.19655852539701757,11.8515625,12.203125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,
interaction_aware,uniform3,3,3,0,10.950520833333334,0.15355753112297466,10.7734375,11.046875,13.96875,0.1446895248238448,13.8046875,14.078125,12.0625,0.18602938905922903,11.8515625,12.203125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
standard_joint,independent,3,3,0,11.205729166666666,0.31311787874470426,10.859375,11.46875,14.356770833333334,0.21213970681683647,14.1328125,14.5546875,12.432291666666666,0.24783404172870066,12.203125,12.6953125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.3333333333333333,0.5773502691896257,0.0,1.0,
standard_joint,interaction_aware,3,3,0,11.494791666666666,0.32722470737183545,11.1171875,11.6953125,14.611979166666666,0.27067052398087854,14.328125,14.8671875,12.744791666666666,0.32422659378062024,12.421875,13.0703125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.3333333333333333,1.1547005383792515,0.0,2.0,
standard_joint,standard_joint,3,3,0,11.2421875,0.2852365041176357,10.921875,11.46875,14.393229166666666,0.18755424562532125,14.1875,14.5546875,12.458333333333334,0.2210168999241536,12.2578125,12.6953125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
standard_joint,uniform3,3,3,0,11.205729166666666,0.3206299240200193,10.859375,11.4921875,14.375,0.22521148914686834,14.1328125,14.578125,12.440104166666666,0.24659959585750202,12.203125,12.6953125,1.400303557622533,0.0,1.400303557622533,1.400303557622533,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
