depth_label,quant_label,rows_total,rows_completed,rows_failed,wiki2_ppl_mean,wiki2_ppl_std,wiki2_ppl_min,wiki2_ppl_max,c4_ppl_mean,c4_ppl_std,c4_ppl_min,c4_ppl_max,fineweb_ppl_mean,fineweb_ppl_std,fineweb_ppl_min,fineweb_ppl_max,compression_ratio_mean,compression_ratio_std,compression_ratio_min,compression_ratio_max,active_params_mean,active_params_std,active_params_min,active_params_max,avg_active_bitwidth_mean,avg_active_bitwidth_std,avg_active_bitwidth_min,avg_active_bitwidth_max,repair_num_changes_mean,repair_num_changes_std,repair_num_changes_min,repair_num_changes_max,failed_sources
independent,independent,3,3,0,13.153645833333334,0.7931258824200502,12.3515625,13.9375,16.096354166666668,1.0204313356013148,15.1015625,17.140625,14.341145833333334,0.7922789230612433,13.6171875,15.1875,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.6666666666666667,1.5275252316519468,0.0,3.0,
independent,interaction_aware,3,3,0,14.1875,0.9005410157753783,13.1953125,14.953125,17.395833333333332,1.3582370716146477,15.828125,18.21875,15.4296875,0.9071587577258735,14.3828125,15.984375,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,3.3333333333333335,2.516611478423583,1.0,6.0,
independent,standard_joint,3,3,0,13.203125,0.7500406890004369,12.3984375,13.8828125,16.255208333333332,1.2192840710159931,15.015625,17.453125,14.377604166666666,0.7578259234206318,13.6171875,15.1328125,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,2.0,1.7320508075688772,0.0,3.0,
independent,uniform3,3,3,0,13.1328125,0.9234626159867003,12.1796875,14.0234375,16.1875,1.1211958250568899,15.015625,17.25,14.286458333333334,0.8797420794199191,13.4296875,15.1875,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
interaction_aware,independent,3,3,0,12.080729166666666,0.5507858672974311,11.4453125,12.421875,14.903645833333334,0.474851779231776,14.3828125,15.3125,13.018229166666666,0.5201818842562026,12.4453125,13.4609375,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,
interaction_aware,interaction_aware,3,3,0,12.421875,0.23136082648376324,12.1796875,12.640625,15.252604166666666,0.22403402306253248,15.015625,15.4609375,13.450520833333334,0.20151606377242817,13.2265625,13.6171875,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
interaction_aware,standard_joint,3,3,0,12.302083333333334,0.754476117739709,11.4453125,12.8671875,15.138020833333334,0.6186362216517743,14.4375,15.609375,13.119791666666666,0.496713646495225,12.546875,13.4296875,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,2.3333333333333335,1.1547005383792515,1.0,3.0,
interaction_aware,uniform3,3,3,0,12.072916666666666,0.6084896078525773,11.375,12.4921875,14.989583333333334,0.5064484886092399,14.4140625,15.3671875,12.966145833333334,0.4946820053916792,12.3984375,13.3046875,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
standard_joint,independent,3,3,0,12.700520833333334,0.8104441137168764,11.8046875,13.3828125,15.6328125,0.9067549778433808,14.9296875,16.65625,13.783854166666666,0.8619398279039456,13.09375,14.75,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.6666666666666667,0.5773502691896257,1.0,2.0,
standard_joint,interaction_aware,3,3,0,13.723958333333334,1.8286813612090362,11.921875,15.578125,17.145833333333332,2.769477072518986,15.28125,20.328125,15.015625,2.0247944291875037,13.3828125,17.28125,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,1.6666666666666667,2.0816659994661326,0.0,4.0,
standard_joint,standard_joint,3,3,0,12.669270833333334,0.8113849520200528,11.7421875,13.25,15.59375,0.9535091438995223,14.8125,16.65625,13.78125,0.9568638246408159,12.96875,14.8359375,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
standard_joint,uniform3,3,3,0,12.611979166666666,0.8422053762790483,11.6953125,13.3515625,15.596354166666666,1.0971023773112896,14.78125,16.84375,13.697916666666666,1.0170162746311306,12.8203125,14.8125,1.5469698122081734,0.0,1.5469698122081734,1.5469698122081734,5503193088.0,0.0,5503193088.0,5503193088.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,
